"INDUSTRY_CATEGORY","TICKER"
"Real Estate","CIMpB"
"Insurance","CINF"
"Metals & Mining","CINR"
"Real Estate","CIO"
"Real Estate","CIOpA"
"Manufacturing","CIR"
"Financial Services","CIT"
"Banking","CIVB"
"Banking","CIVBP"
"Health Services","CIVI"
"Diversified Services","CIX"
"Banking","CIZN"
"Energy","CJ"
"Retail","CJJD"
"Energy","CKH"
"Drugs","CKPT"
"Real Estate","CKX"
"Consumer NonDurables","CL"
"Consumer Durables","CLAR"
"Energy","CLB"
"Drugs","CLBS"
"Diversified Services","CLCT"
"Metals & Mining","CLD"
"Financial Services","CLDC"
"Computer Software & Services","CLDR"
"Real Estate","CLDT"
"Drugs","CLDX"
"Metals & Mining","CLF"
"Telecommunications","CLFD"
"Telecommunications","CLGX"
"Materials & Construction","CLH"
"Real Estate","CLI"
"Manufacturing","CLIR"
"Manufacturing","CLIRW"
"Drugs","CLLS"
"Financial Services","CLM"
"Energy","CLMT"
"Utilities","CLNE"
"Real Estate","CLNY"
"Real Estate","CLNYpB"
"Real Estate","CLNYpE"
"Real Estate","CLNYpG"
"Real Estate","CLNYpH"
"Real Estate","CLNYpI"
"Real Estate","CLNYpJ"
"Real Estate","CLPR"
"Energy","CLR"
"Drugs","CLRB"
"Drugs","CLRBW"
"Drugs","CLRBZ"
"Telecommunications","CLRO"
"Electronics","CLS"
"Drugs","CLSD"
"Drugs","CLSN"
"Leisure","CLUB"
"Drugs","CLVS"
"Consumer NonDurables","CLW"
"Manufacturing","CLWT"
"Consumer Durables","CLX"
"Chemicals","CLXT"
"Banking","CM"
"Banking","CMA"
"Banking","CMA.WS"
"Metals & Mining","CMC"
"Computer Software & Services","CMCM"
"Manufacturing","CMCO"
"Media","CMCSA"
"Real Estate","CMCT"
"Real Estate","CMCTP"
"Health Services","CMD"
"Financial Services","CME"
"Financial Services","CMFN"
"Leisure","CMG"
"Manufacturing","CMI"
"Media","CMLS"
"Real Estate","CMO"
"Real Estate","CMOpE"
"Metals & Mining","CMP"
"Diversified Services","CMPR"
"Transportation","CMRE"
"Transportation","CMREpB"
"Transportation","CMREpC"
"Transportation","CMREpD"
"Transportation","CMREpE"
"Drugs","CMRX"
"Utilities","CMS"
"Utilities","CMSpB"
"Consumer NonDurables","CMT"
"Drugs","CMTA"
"Telecommunications","CMTL"
"Financial Services","CMU"
"Insurance","CNA"
"Conglomerates","CNAC"
"Conglomerates","CNACR"
"Conglomerates","CNACU"
"Conglomerates","CNACW"
"Drugs","CNAT"
"Banking","CNBKA"
"Health Services","CNC"
"Drugs","CNCE"
"Media","CNET"
"Insurance","CNFR"
"Manufacturing","CNHI"
"Transportation","CNI"
"Media","CNK"
"Health Services","CNMD"
"Insurance","CNO"
"Banking","CNOB"
"Utilities","CNP"
"Energy","CNQ"
"Financial Services","CNS"
"Telecommunications","CNSL"
"Computer Hardware","CNTF"
"Leisure","CNTY"
"Retail","CNV"
"Energy","CNX"
"Energy","CNXM"
"Wholesale","CNXN"
"Electronics","CNXT"
"Health Services","CO"
"Banking","COBZ"
"Drugs","COCP"
"Electronics","CODA"
"Conglomerates","CODI"
"Conglomerates","CODIpA"
"Conglomerates","CODIpB"
"Health Services","CODX"
"Diversified Services","COE"
"Financial Services","COF"
"Financial Services","COFpC"
"Financial Services","COFpD"
"Financial Services","COFpF"
"Financial Services","COFpG"
"Financial Services","COFpH"
"Financial Services","COFpP"
"Financial Services","COF.WS"
"Energy","COG"
"Financial Services","COHN"
"Electronics","COHR"
"Electronics","COHU"
"Food & Beverage","COKE"
"Aerospace/Defense","COL"
"Banking","COLB"
"Drugs","COLL"
"Consumer NonDurables","COLM"
"Telecommunications","COMM"
"Real Estate","CONE"
"Retail","CONN"
"Health Services","COO"
"Energy","COP"
"Real Estate","COR"
"Wholesale","CORE"
"Drugs","CORI"
"Financial Services","CORR"
"Financial Services","CORRpA"
"Drugs","CORT"
"Drugs","CORV"
"Retail","COST"
"Food & Beverage","COT"
"Consumer NonDurables","COTY"
"Computer Software & Services","COUP"
"Banking","COWB"
"Financial Services","COWN"
"Transportation","CP"
"Transportation","CPA"
"Materials & Construction","CPAC"
"Computer Software & Services","CPAH"
"Food & Beverage","CPB"
"Energy","CPE"
"Energy","CPEpA"
"Banking","CPF"
"Energy","CPG"
"Leisure","CPHC"
"Drugs","CPHI"
"Real Estate","CPI"
"Drugs","CPIX"
"Banking","CpJ"
"Banking","CpK"
"Utilities","CPK"
"Banking","CpL"
"Utilities","CPL"
"Transportation","CPLP"
"Banking","CpN"
"Specialty Retail","CPRT"
"Drugs","CPRX"
"Banking","CpS"
"Automotive","CPS"
"Electronics","CPSH"
"Computer Software & Services","CPSI"
"Financial Services","CPSS"
"Manufacturing","CPST"
"Real Estate","CPT"
"Energy","CQH"
"Energy","CQP"
"Manufacturing","CR"
"Diversified Services","CRAI"
"Computer Hardware","CRAY"
"Drugs","CRBP"
"Energy","CRC"
"Internet","CRCM"
"Insurance","CRD.A"
"Insurance","CRD.B"
"Electronics","CREE"
"Materials & Construction","CREG"
"Food & Beverage","CRESY"
"Financial Services","CRF"
"Materials & Construction","CRH"
"Consumer NonDurables","CRI"
"Drugs","CRIS"
"Energy","CRK"
"Health Services","CRL"
"Computer Software & Services","CRM"
"Drugs","CRMD"
"Specialty Retail","CRMT"
"Telecommunications","CRNT"
"Consumer NonDurables","CROX"
"Energy","CRR"
"Manufacturing","CRS"
"Drugs","CRSP"
"Energy","CRT"
"Internet","CRTO"
"Electronics","CRUS"
"Insurance","CRVL"
"Drugs","CRVS"
"Consumer NonDurables","CRWS"
"Health Services","CRY"
"Energy","CRZO"
"Banking","CS"
"Drugs","CSA"
"Drugs","CSBR"
"Computer Hardware","CSCO"
"Banking","CSFL"
"Real Estate","CSGP"
"Computer Software & Services","CSGS"
"Health Services","CSII"
"Electronics","CSIQ"
"Consumer NonDurables","CSL"
"Computer Software & Services","CSLT"
"Computer Software & Services","CSOD"
"Computer Software & Services","CSPI"
"Financial Services","CSQ"
"Specialty Retail","CSS"
"Materials & Construction","CSTE"
"Manufacturing","CSTM"
"Specialty Retail","CSTR"
"Health Services","CSU"
"Diversified Services","CSV"
"Financial Services","CSWC"
"Chemicals","CSWI"
"Transportation","CSX"
"Diversified Services","CTAS"
"Consumer NonDurables","CTB"
"Banking","CTBI"
"Diversified Services","CTEK"
"Computer Software & Services","CTG"
"Specialty Retail","CTHR"
"Consumer NonDurables","CTIB"
"Drugs","CTIC"
"Telecommunications","CTL"
"Drugs","CTLT"
"Drugs","CTMX"
"Real Estate","CTO"
"Real Estate","CTRE"
"Electronics","CTRL"
"Retail","CTRN"
"Leisure","CTRP"
"Drugs","CTRV"
"Electronics","CTS"
"Computer Software & Services","CTSH"
"Health Services","CTSO"
"Materials & Construction","CTT"
"Utilities","CTWS"
"Drugs","CTXR"
"Drugs","CTXRW"
"Computer Software & Services","CTXS"
"Electronics","CUB"
"Financial Services","CUBA"
"Real Estate","CUBE"
"Banking","CUBI"
"Banking","CUBIpC"
"Banking","CUBIpD"
"Banking","CUBIpE"
"Banking","CUBIpF"
"Manufacturing","CUI"
"Leisure","CUK"
"Manufacturing","CULP"
"Manufacturing","CUO"
"Drugs","CUR"
"Health Services","CUTR"
"Real Estate","CUZ"
"Materials & Construction","CVA"
"Banking","CVBF"
"Materials & Construction","CVCO"
"Banking","CVCY"
"Energy","CVE"
"Diversified Services","CVEO"
"Diversified Services","CVG"
"Wholesale","CVGI"
"Food & Beverage","CVGW"
"Energy","CVI"
"Computer Software & Services","CVLT"
"Banking","CVLY"
"Drugs","CVM"
"Drugs","CVM.WS"
"Specialty Retail","CVNA"
"Conglomerates","CVON"
"Manufacturing","CVR"
"Energy","CVRR"
"Health Services","CVRS"
"Health Services","CVS"
"Banking","C.VS"
"Transportation","CVTI"
"Aerospace/Defense","CVU"
"Manufacturing","CVV"
"Energy","CVX"
"Manufacturing","CW"
"Banking","CWAY"
"Banking","CWBC"
"Utilities","CWCO"
"Real Estate","CWH"
"Banking","C.WS.A"
"Materials & Construction","CWST"
"Utilities","CWT"
"Materials & Construction","CX"
"Consumer NonDurables","CXDC"
"Financial Services","CXE"
"Financial Services","CXH"
"Energy","CXO"
"Real Estate","CXP"
"Real Estate","CXW"
"Electronics","CY"
"Diversified Services","CYAD"
"Drugs","CYAN"
"Consumer Durables","CYB"
"Electronics","CYBE"
"Computer Software & Services","CYBR"
"Drugs","CYCC"
"Drugs","CYCCP"
"Manufacturing","CYD"
"Banking","CYGXL"
"Health Services","CYH"
"Health Services","CYHHZ"
"Computer Software & Services","CYOU"
"Computer Software & Services","CYRN"
"Consumer NonDurables","CYRX"
"Consumer NonDurables","CYRXW"
"Drugs","CYTK"
"Drugs","CYTR"
"Drugs","CYTX"
"Drugs","CYTXW"
"Drugs","CYTXZ"
"Banking","CZFC"
"Banking","CZNC"
"Leisure","CZR"
"Banking","CZWI"
"Utilities","CZZ"
"Utilities","D"
"Transportation","DAC"
"Electronics","DAIO"
"Computer Hardware","DAKT"
"Transportation","DAL"
"Automotive","DAN"
"Materials & Construction","DAR"
"Drugs","DARE"
"Computer Software & Services","DATA"
"Financial Services","DAUD"
"Leisure","DAVE"
"Banking","DB"
"Financial Services","DBA"
"Computer Hardware","DBD"
"Financial Services","DBL"
"Drugs","DBVT"
"Telecommunications","DCAR"
"Financial Services","DCHF"
"Manufacturing","DCI"
"Transportation","DCIX"
"Aerospace/Defense","DCO"
"Banking","DCOM"
"Energy","DCP"
"Energy","DCPpB"
"Utilities","DCUD"
"Computer Hardware","DDD"
"Leisure","DDE"
"Financial Services","DDF"
"Chemicals","DDpA"
"Chemicals","DDpB"
"Retail","DDS"
"Retail","DDT"
"Manufacturing","DE"
"Real Estate","DEA"
"Consumer NonDurables","DECK"
"Real Estate","DEI"
"Chemicals","DELT"
"Leisure","DENN"
"Food & Beverage","DEO"
"Drugs","DERM"
"Consumer Durables","DESP"
"Retail","DEST"
"Financial Services","DEUR"
"Financial Services","DEX"
"Food & Beverage","DF"
"Consumer NonDurables","DFBG"
"Drugs","DFFN"
"Diversified Services","DFIN"
"Financial Services","DFP"
"Leisure","DFRG"
"Financial Services","DFS"
"Retail","DG"
"Financial Services","DGBP"
"Insurance","DGICA"
"Insurance","DGICB"
"Computer Hardware","DGII"
"Banking","DGLD"
"Electronics","DGLY"
"Specialty Retail","DGSE"
"Health Services","DGX"
"Real Estate","DHCP"
"Real Estate","DHCP.WS.A"
"Real Estate","DHCP.WS.B"
"Financial Services","DHF"
"Materials & Construction","DHI"
"Financial Services","DHIL"
"Manufacturing","DHR"
"Transportation","DHT"
"Diversified Services","DHX"
"Financial Services","DHY"
"Financial Services","DIAX"
"Leisure","DIN"
"Electronics","DIOD"
"Media","DIS"
"Media","DISCA"
"Media","DISCB"
"Media","DISCK"
"Media","DISH"
"Wholesale","DIT"
"Media","DJCO"
"Financial Services","DJPY"
"Energy","DK"
"Energy","DKL"
"Specialty Retail","DKS"
"Diversified Services","DL"
"Consumer NonDurables","DLA"
"Electronics","DLB"
"Financial Services","DLBR"
"Diversified Services","DLHC"
"Transportation","DLNG"
"Transportation","DLNGpA"
"Diversified Services","DLPN"
"Diversified Services","DLPNW"
"Real Estate","DLR"
"Real Estate","DLRpC"
"Real Estate","DLRpG"
"Real Estate","DLRpH"
"Real Estate","DLRpI"
"Real Estate","DLRpJ"
"Retail","DLTH"
"Retail","DLTR"
"Diversified Services","DLX"
"Energy","DM"
"Financial Services","DMF"
"Financial Services","DMLP"
"Drugs","DMPI"
"Computer Software & Services","DMRC"
"Computer Software & Services","DNB"
"Banking","DNBF"
"Financial Services","DNI"
"Leisure","DNKN"
"Metals & Mining","DNN"
"Energy","DNOW"
"Financial Services","DNP"
"Energy","DNR"
"Energy","DO"
"Real Estate","DOC"
"Materials & Construction","DOOR"
"Automotive","DORM"
"Manufacturing","DOV"
"Drugs","DOVA"
"Computer Software & Services","DOX"
"Financial Services","DPG"
"Drugs","DPLO"
"Electronics","DPW"
"Leisure","DPZ"
"Electronics","DQ"
"Health Services","DRAD"
"Metals & Mining","DRD"
"Real Estate","DRE"
"Real Estate","DRH"
"Leisure","DRI"
"Health Services","DRIO"
"Health Services","DRIOW"
"Wholesale","DRIV"
"Drugs","DRNA"
"Energy","DRQ"
"Drugs","DRRX"
"Computer Software & Services","DRV"
"Transportation","DRYS"
"Real Estate","DS"
"Computer Software & Services","DSGX"
"Consumer Durables","DSKE"
"Automotive","DSKEW"
"Financial Services","DSL"
"Banking","DSLV"
"Financial Services","DSM"
"Real Estate","DSpB"
"Real Estate","DSpC"
"Real Estate","DSpD"
"Electronics","DSPG"
"Diversified Services","DSS"
"Financial Services","DSU"
"Retail","DSW"
"Consumer NonDurables","DSWL"
"Transportation","DSX"
"Transportation","DSXpB"
"Utilities","DTE"
"Food & Beverage","DTEA"
"Financial Services","DTF"
"Real Estate","DTLAp"
"Computer Software & Services","DTRM"
"Utilities","DTV"
"Financial Services","DUC"
"Utilities","DUK"
"Drugs","DUSA"
"Health Services","DVA"
"Drugs","DVAX"
"Health Services","DVCR"
"Leisure","DVD"
"Computer Hardware","DVMT"
"Energy","DVN"
"Computer Software & Services","DWCH"
"Chemicals","DWDP"
"Energy","DWSN"
"Financial Services","DWT"
"Real Estate","DX"
"Computer Software & Services","DXC"
"Health Services","DXCM"
"Consumer NonDurables","DXF"
"Retail","DXLG"
"Real Estate","DXpA"
"Real Estate","DXpB"
"Wholesale","DXPE"
"Health Services","DXR"
"Manufacturing","DXYN"
"Materials & Construction","DY"
"Utilities","DYNC"
"Health Services","DYNT"
"Electronics","DYSL"
"Telecommunications","DZSI"
"Energy","E"
"Computer Software & Services","EA"
"Financial Services","EACQ"
"Financial Services","EACQU"
"Financial Services","EACQW"
"Financial Services","EAD"
"Manufacturing","EAF"
"Real Estate","EARN"
"Drugs","EARS"
"Food & Beverage","EAST"
"Food & Beverage","EASTW"
"Leisure","EAT"
"Specialty Retail","EBAY"
"Consumer NonDurables","EBF"
"Computer Software & Services","EBIX"
"Banking","EBMT"
"Utilities","EBR"
"Utilities","EBR.B"
"Drugs","EBS"
"Banking","EBSB"
"Banking","EBTC"
"Energy","EC"
"Energy","ECA"
"Financial Services","ECC"
"Financial Services","ECCA"
"Financial Services","ECF"
"Financial Services","ECFpA"
"Transportation","ECHO"
"Consumer NonDurables","ECL"
"Materials & Construction","ECOL"
"Computer Software & Services","ECOM"
"Financial Services","ECPG"
"Energy","ECR"
"Energy","ECT"
"Drugs","ECYT"
"Utilities","ED"
"Health Services","EDAP"
"Financial Services","EDD"
"Wholesale","EDEN"
"Drugs","EDGE"
"Computer Software & Services","EDGW"
"Financial Services","EDI"
"Drugs","EDIT"
"Utilities","EDN"
"Real Estate","EDR"
"Diversified Services","EDU"
"Media","EDUC"
"Utilities","EE"
"Financial Services","EEA"
"Diversified Services","EEFT"
"Materials & Construction","EEI"
"Energy","EEP"
"Energy","EEQ"
"Diversified Services","EEX"
"Banking","EFBI"
"Real Estate","EFC"
"Computer Hardware","EFII"
"Consumer Durables","EFOI"
"Financial Services","EFR"
"Banking","EFSC"
"Financial Services","EFT"
"Financial Services","EFX"
"Computer Software & Services","EGAN"
"Banking","EGBN"
"Energy","EGC"
"Financial Services","EGF"
"Telecommunications","EGHT"
"Metals & Mining","EGI"
"Diversified Services","EGL"
"Transportation","EGLE"
"Drugs","EGLT"
"Energy","EGN"
"Metals & Mining","EGO"
"Computer Software & Services","EGOV"
"Real Estate","EGP"
"Drugs","EGRX"
"Energy","EGY"
"Health Services","EHC"
"Financial Services","EHI"
"Diversified Services","EHIC"
"Insurance","EHTH"
"Financial Services","EIA"
"Insurance","EIG"
"Computer Software & Services","EIGI"
"Drugs","EIGR"
"Financial Services","EIM"
"Financial Services","EIO"
"Financial Services","EIP"
"Financial Services","EIV"
"Utilities","EIX"
"Health Services","EKSO"
"Consumer NonDurables","EL"
"Consumer NonDurables","ELF"
"Health Services","ELGX"
"Computer Software & Services","ELLI"
"Utilities","ELLO"
"Health Services","ELMD"
"Computer Hardware","ELON"
"Drugs","ELOX"
"Utilities","ELP"
"Real Estate","ELS"
"Electronics","ELSE"
"Electronics","ELTK"
"Financial Services","ELU"
"Financial Services","ELVT"
"Consumer Durables","ELY"
"Electronics","EMAN"
"Banking","EMCF"
"Insurance","EMCI"
"Materials & Construction","EME"
"Energy","EMES"
"Financial Services","EMF"
"Financial Services","EMI"
"Real Estate","EMITF"
"Financial Services","EMJ"
"Electronics","EMKR"
"Manufacturing","EML"
"Media","EMMS"
"Chemicals","EMN"
"Financial Services","EMO"
"Utilities","EMP"
"Manufacturing","EMR"
"Metals & Mining","EMX"
"Conglomerates","EMXC"
"Energy","ENB"
"Energy","ENBL"
"Drugs","ENDP"
"Banking","ENFC"
"Diversified Services","ENG"
"Utilities","ENIA"
"Utilities","ENIC"
"Utilities","ENJ"
"Energy","ENLC"
"Energy","ENLK"
"Electronics","ENPH"
"Consumer NonDurables","ENR"
"Manufacturing","ENS"
"Health Services","ENSG"
"Energy","ENSV"
"Media","ENT"
"Drugs","ENTA"
"Electronics","ENTG"
"Diversified Services","ENV"
"Financial Services","ENVA"
"Financial Services","ENX"
"Health Services","ENZ"
"Utilities","EOCC"
"Financial Services","EOD"
"Energy","EOG"
"Financial Services","EOI"
"Financial Services","EOS"
"Computer Software & Services","EPAM"
"Computer Software & Services","EPAY"
"Consumer NonDurables","EPC"
"Energy","EPD"
"Energy","EPE"
"Drugs","EPIX"
"Energy","EPM"
"Real Estate","EPR"
"Real Estate","EPRpC"
"Real Estate","EPRpE"
"Real Estate","EPRpG"
"Drugs","EPZM"
"Banking","EQBK"
"Real Estate","EQC"
"Real Estate","EQCpD"
"Energy","EQGP"
"Internet","EQIX"
"Energy","EQM"
"Energy","EQNR"
"Real Estate","EQR"
"Financial Services","EQS"
"Energy","EQT"
"Transportation","ERA"
"Financial Services","ERC"
"Energy","ERF"
"Financial Services","ERH"
"Leisure","ERI"
"Telecommunications","ERIC"
"Insurance","ERIE"
"Manufacturing","ERII"
"Aerospace/Defense","ERJ"
"Media","EROS"
"Utilities","ES"
"Real Estate","ESBA"
"Banking","ESBK"
"Consumer Durables","ESCA"
"Electronics","ESE"
"Transportation","ESEA"
"Energy","ESES"
"Insurance","ESGR"
"Insurance","ESGRP"
"Electronics","ESIO"
"Aerospace/Defense","ESL"
"Aerospace/Defense","ESLT"
"Utilities","ESNC"
"Consumer Durables","ESND"
"Real Estate","ESNT"
"Electronics","ESP"
"Drugs","ESPR"
"Banking","ESQ"
"Real Estate","ESRT"
"Health Services","ESRX"
"Real Estate","ESS"
"Banking","ESSA"
"Energy","ESTE"
"Energy","ESV"
"Financial Services","ESXB"
"Financial Services","ETB"
"Energy","ETE"
"Financial Services","ETFC"
"Financial Services","ETG"
"Consumer Durables","ETH"
"Media","ETM"
"Manufacturing","ETN"
"Financial Services","ETO"
"Energy","ETP"
"Energy","ETPpC"
"Energy","ETPpD"
"Utilities","ETR"
"Specialty Retail","ETSY"
"Financial Services","ETV"
"Financial Services","ETW"
"Financial Services","ETY"
"Chemicals","EUO"
"Transportation","EURN"
"Financial Services","EV"
"Financial Services","EV4133411"
"Financial Services","EV4133412"
"Financial Services","EV4133414"
"Financial Services","EV4133418"
"Financial Services","EV4133419"
"Financial Services","EV4133420"
"Financial Services","EV4133421"
"Financial Services","EV4133422"
"Financial Services","EV4339282"
"Financial Services","EV4339284"
"Financial Services","EV4339295"
"Financial Services","EV4339307"
"Financial Services","EV4339310"
"Financial Services","EV4339311"
"Financial Services","EV4339312"
"Materials & Construction","EVA"
"Computer Software & Services","EVBG"
"Banking","EVBN"
"Media","EVC"
"Financial Services","EVER4136043"
"Financial Services","EVER4136044"
"Financial Services","EVER4136076"
"Financial Services","EVER4151197"
"Financial Services","EVF"
"Drugs","EVFM"
"Financial Services","EVG"
"Drugs","EVGN"
"Computer Software & Services","EVH"
"Computer Software & Services","EVHC"
"Diversified Services","EVI"
"Financial Services","EVJ"
"Consumer NonDurables","EVK"
"Retail","EVLV"
"Financial Services","EVM"
"Financial Services","EVN"
"Financial Services","EVO"
"Drugs","EVOK"
"Computer Software & Services","EVOL"
"Financial Services","EVP"
"Financial Services","EVR"
"Financial Services","EVRI"
"Financial Services","EVT"
"Computer Software & Services","EVTC"
"Financial Services","EVV"
"Financial Services","EVY"
"Health Services","EW"
"Banking","EWBC"
"Health Services","EXAS"
"Utilities","EXC"
"Financial Services","EXD"
"Drugs","EXEL"
"Telecommunications","EXFO"
"Financial Services","EXG"
"Metals & Mining","EXK"
"Diversified Services","EXLS"
"Materials & Construction","EXP"
"Transportation","EXPD"
"Leisure","EXPE"
"Diversified Services","EXPI"
"Diversified Services","EXPO"
"Retail","EXPR"
"Real Estate","EXR"
"Diversified Services","EXTN"
"Computer Hardware","EXTR"
"Drugs","EYEG"
"Drugs","EYEGW"
"Health Services","EYES"
"Health Services","EYESW"
"Drugs","EYPT"
"Financial Services","EZPW"
"Utilities","EZT"
"Automotive","F"
"Insurance","FAF"
"Financial Services","FAM"
"Energy","FANG"
"Insurance","FANH"
"Food & Beverage","FARM"
"Electronics","FARO"
"Wholesale","FAST"
"Drugs","FATE"
"Financial Services","FAX"
"Internet","FB"
"Banking","FBC"
"Consumer Durables","FBHS"
"Drugs","FBIO"
"Drugs","FBIOP"
"Banking","FBIZ"
"Banking","FBK"
"Materials & Construction","FBM"
"Banking","FBMS"
"Banking","FBNC"
"Banking","FBNK"
"Banking","FBP"
"Consumer NonDurables","FBR"
"Banking","FBSS"
"Diversified Services","FC"
"Banking","FCAP"
"Automotive","FCAU"
"Banking","FCB"
"Banking","FCBC"
"Banking","FCCO"
"Banking","FCCY"
"Real Estate","FCE.A"
"Utilities","FCEL"
"Banking","FCF"
"Financial Services","FCFS"
"Diversified Services","FCN"
"Banking","FCNCA"
"Financial Services","FCO"
"Real Estate","FCPT"
"Drugs","FCSC"
"Financial Services","FCT"
"Banking","FCTR"
"Metals & Mining","FCX"
"Diversified Services","FDC"
"Banking","FDEF"
"Food & Beverage","FDP"
"Computer Software & Services","FDS"
"Financial Services","FDUS"
"Transportation","FDX"
"Utilities","FE"
"Financial Services","FEI"
"Telecommunications","FEIM"
"Manufacturing","FELE"
"Metals & Mining","FELP"
"Financial Services","FEN"
"Drugs","FENC"
"Internet","FENG"
"Financial Services","FEO"
"Energy","FET"
"Computer Software & Services","FEYE"
"Chemicals","FF"
"Financial Services","FFA"
"Banking","FFBC"
"Financial Services","FFC"
"Banking","FFEU"
"Insurance","FFG"
"Consumer NonDurables","FFHL"
"Banking","FFIC"
"Banking","FFIN"
"Computer Software & Services","FFIV"
"Banking","FFNW"
"Banking","FFWM"
"Insurance","FG"
"Financial Services","FGB"
"Banking","FGBI"
"Drugs","FGEN"
"Energy","FGP"
"Banking","FHB"
"Banking","FHN"
"Banking","FHNpA"
"Energy","FI"
"Banking","FIBK"
"Computer Software & Services","FICO"
"Financial Services","FIF"
"Financial Services","FII"
"Computer Software & Services","FIS"
"Banking","FISI"
"Diversified Services","FISV"
"Electronics","FIT"
"Banking","FITB"
"Banking","FITBI"
"Specialty Retail","FIVE"
"Computer Software & Services","FIVN"
"Materials & Construction","FIX"
"Banking","FIYY"
"Food & Beverage","FIZZ"
"Consumer NonDurables","FL"
"Financial Services","FLC"
"Health Services","FLDM"
"Electronics","FLEX"
"Health Services","FLGT"
"Banking","FLIC"
"Electronics","FLIR"
"Drugs","FLKS"
"Leisure","FLL"
"Conglomerates","FLMN"
"Conglomerates","FLMNW"
"Computer Software & Services","FLNT"
"Food & Beverage","FLO"
"Manufacturing","FLOW"
"Materials & Construction","FLR"
"Manufacturing","FLS"
"Computer Software & Services","FLSW"
"Diversified Services","FLT"
"Banking","FLTB"
"Automotive","FLTW"
"Specialty Retail","FLWS"
"Drugs","FLXN"
"Consumer Durables","FLXS"
"Diversified Services","FLY"
"Banking","FMAO"
"Banking","FMBH"
"Banking","FMBI"
"Chemicals","FMC"
"Health Services","FMDG"
"Financial Services","FMN"
"Banking","FMNB"
"Financial Services","FMO"
"Health Services","FMS"
"Food & Beverage","FMX"
"Financial Services","FMY"
"Consumer Durables","FN"
"Banking","FNB"
"Banking","FNBpE"
"Banking","FNCB"
"Retail","FND"
"Insurance","FNF"
"Banking","FNGD"
"Banking","FNGO"
"Banking","FNGU"
"Banking","FNGZ"
"Insurance","FNHC"
"Computer Software & Services","FNJN"
"Banking","FNLC"
"Computer Hardware","FNSR"
"Metals & Mining","FNV"
"Banking","FNWB"
"Chemicals","FOE"
"Financial Services","FOF"
"Drugs","FOLD"
"Drugs","FOMX"
"Health Services","FONR"
"Real Estate","FOR"
"Consumer NonDurables","FORD"
"Consumer NonDurables","FORK"
"Electronics","FORM"
"Diversified Services","FORR"
"Computer Software & Services","FORTY"
"Consumer NonDurables","FOSL"
"Media","FOX"
"Media","FOXA"
"Automotive","FOXF"
"Financial Services","FPAY"
"Financial Services","FPAYW"
"Financial Services","FPF"
"Real Estate","FPH"
"Real Estate","FPI"
"Real Estate","FPIpB"
"Drugs","FPRX"
"Real Estate","FR"
"Financial Services","FRA"
"Energy","FRAC"
"Retail","FRAN"
"Banking","FRBA"
"Banking","FRBK"
"Banking","FRC"
"Banking","FRCpD"
"Banking","FRCpE"
"Banking","FRCpF"
"Banking","FRCpG"
"Banking","FRCpH"
"Banking","FRCpI"
"Metals & Mining","FRD"
"Retail","FRED"
"Leisure","FRGI"
"Banking","FRLG"
"Banking","FRME"
"Transportation","FRO"
"Real Estate","FRPH"
"Food & Beverage","FRPT"
"Leisure","FRSH"
"Real Estate","FRT"
"Materials & Construction","FRTA"
"Real Estate","FRTpC"
"Conglomerates","FSAC"
"Conglomerates","FSACU"
"Conglomerates","FSACW"
"Banking","FSB"
"Banking","FSBC"
"Banking","FSBW"
"Financial Services","FSD"
"Banking","FSFG"
"Chemicals","FSI"
"Financial Services","FSIC"
"Electronics","FSLR"
"Metals & Mining","FSM"
"Telecommunications","FSNN"
"Real Estate","FSP"
"Manufacturing","FSS"
"Transportation","FSTR"
"Real Estate","FSV"
"Financial Services","FT"
"Diversified Services","FTAI"
"Specialty Retail","FTD"
"Manufacturing","FTEK"
"Computer Software & Services","FTEO"
"Financial Services","FTF"
"Food & Beverage","FTFT"
"Energy","FTK"
"Computer Software & Services","FTNT"
"Telecommunications","FTNW"
"Telecommunications","FTR"
"Utilities","FTS"
"Electronics","FTV"
"Electronics","FTVpA"
"Chemicals","FUL"
"Banking","FULT"
"Leisure","FUN"
"Banking","FUNC"
"Financial Services","FUND"
"Banking","FUSB"
"Health Services","FVE"
"Media","FWONA"
"Media","FWONK"
"Drugs","FWP"
"Transportation","FWRD"
"Diversified Services","G"
"Financial Services","GAB"
"Banking","GABC"
"Financial Services","GABpD"
"Financial Services","GABpG"
"Financial Services","GABpH"
"Financial Services","GABpJ"
"Retail","GAIA"
"Financial Services","GAIN"
"Financial Services","GAINL"
"Financial Services","GAINM"
"Drugs","GALT"
"Financial Services","GAM"
"Financial Services","GAMpB"
"Financial Services","GARS"
"Transportation","GASS"
"Consumer Durables","GATX"
"Banking","GAZB"
"Financial Services","GBAB"
"Banking","GBCI"
"Financial Services","GBDC"
"Financial Services","GBL"
"Financial Services","GBL4134072"
"Insurance","GBLI"
"Banking","GBNK"
"Energy","GBR"
"Drugs","GBT"
"Transportation","GBX"
"Financial Services","GCAP"
"Banking","GCBC"
"Media","GCI"
"Retail","GCO"
"Chemicals","GCP"
"Financial Services","GCV"
"Financial Services","GCVpB"
"Drugs","GCVRZ"
"Aerospace/Defense","GD"
"Internet","GDDY"
"Leisure","GDEN"
"Manufacturing","GDI"
"Financial Services","GDL"
"Financial Services","GDOT"
"Energy","GDP"
"Computer Hardware","GDS"
